NFL Week 1 Over Under Totals 2018,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
DAL 20 @ PHI 10,2015-09-20,55,under,53,under,30
SEA 17 @ GB 27,2015-09-20,49,under,49,under,44
NYJ 20 @ IND 7,2015-09-21,47,under,45.5,under,27
NFL Week 2 Over Under Totals 2014,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
PIT 6 @ BAL 26,2014-09-11,43.5,under,44,under,32
MIA 10 @ BUF 29,2014-09-14,44.5,under,43,under,39
JAC 10 @ WAS 41,2014-09-14,45,over,43,over,51
DAL 26 @ TEN 10,2014-09-14,47.5,under,49.5,under,36
ARI 25 @ NYG 14,2014-09-14,45.5,under,41.5,under,39
NE 30 @ MIN 7,2014-09-14,49,under,49,under,37
NO 24 @ CLE 26,2014-09-14,47.5,over,49.5,over,50
ATL 10 @ CIN 24,2014-09-14,48,under,48.5,under,34
DET 7 @ CAR 24,2014-09-14,43.5,under,43.5,under,31
STL 19 @ TB 17,2014-09-14,38,under,37.5,under,36
SEA 21 @ SD 30,2014-09-14,40,over,45,over,51
HOU 30 @ OAK 14,2014-09-14,40,over,41,over,44
NYJ 24 @ GB 31,2014-09-14,46,over,46.5,over,55
KC 17 @ DEN 24,2014-09-14,52,under,49,under,41
CHI 28 @ SF 20,2014-09-14,48,push,47,over,48
PHI 30 @ IND 27,2014-09-15,52.5,over,53.5,over,57
NFL Week 2 Over Under Totals 2013,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
NYJ 10 @ NE 13,2013-09-12,44.5,under,43,under,23
STL 24 @ ATL 31,2013-09-15,47,over,47.5,over,55
SD 33 @ PHI 30,2013-09-15,53,over,51,over,63
DAL 16 @ KC 17,2013-09-15,46.5,under,45,under,33
MIA 24 @ IND 20,2013-09-15,42.5,over,43.5,over,44
TEN 24 @ HOU 30,2013-09-15,42.5,over,42.5,over,54
WAS 20 @ GB 38,2013-09-15,49.5,over,48.5,over,58
CLE 6 @ BAL 14,2013-09-15,42.5,under,43.5,under,20
CAR 23 @ BUF 24,2013-09-15,45,over,43.5,over,47
MIN 30 @ CHI 31,2013-09-15,40.5,over,41,over,61
NO 16 @ TB 14,2013-09-15,46,under,48.5,under,30
DET 21 @ ARI 25,2013-09-15,48,under,47.5,under,46
JAC 9 @ OAK 19,2013-09-15,39.5,under,40.5,under,28
DEN 41 @ NYG 23,2013-09-15,54.5,over,52.5,over,64
SF 3 @ SEA 29,2013-09-15,45.5,under,43.5,under,32
PIT 10 @ CIN 20,2013-09-16,40,under,40,under,30
NFL Week 2 Over Under Totals 2012,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
CHI 10 @ GB 23,2012-09-13,50,under,50.5,under,33
KC 17 @ BUF 35,2012-09-16,44.5,over,45,over,52
BAL 23 @ PHI 24,2012-09-16,44,over,46.5,over,47
TB 34 @ NYG 41,2012-09-16,44,over,43.5,over,75
ARI 20 @ NE 18,2012-09-16,48.5,under,47,under,38
HOU 27 @ JAC 7,2012-09-16,41,under,40,under,34
MIN 20 @ IND 23,2012-09-16,44,under,45.5,under,43
CLE 27 @ CIN 34,2012-09-16,40,over,39.5,over,61
NO 27 @ CAR 35,2012-09-16,50.5,over,53,over,62
OAK 13 @ MIA 35,2012-09-16,39.5,over,41,over,48
WAS 28 @ STL 31,2012-09-16,45.5,over,42.5,over,59
DAL 7 @ SEA 27,2012-09-16,42.5,under,43,under,34
TEN 10 @ SD 38,2012-09-16,44,over,43.5,over,48
NYJ 10 @ PIT 27,2012-09-16,41.5,under,43,under,37
DET 19 @ SF 27,2012-09-16,46,push,46,push,46
DEN 21 @ ATL 27,2012-09-17,49,under,50,under,48
NFL Week 2 Over Under Totals 2011,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
CHI 13 @ NO 30,2011-09-18,47,under,46.5,under,43
KC 3 @ DET 48,2011-09-18,44,over,45,over,51
JAC 3 @ NYJ 32,2011-09-18,37.5,under,38,under,35
OAK 35 @ BUF 38,2011-09-18,41.5,over,40.5,over,73
ARI 21 @ WAS 22,2011-09-18,42.5,over,44.5,under,43
BAL 13 @ TEN 26,2011-09-18,37.5,over,39.5,under,39
SEA 0 @ PIT 24,2011-09-18,38.5,under,39.5,under,24
GB 30 @ CAR 23,2011-09-18,45.5,over,45.5,over,53
TB 24 @ MIN 20,2011-09-18,41,over,41,over,44
CLE 27 @ IND 19,2011-09-18,37,over,39.5,over,46
DAL 27 @ SF 24,2011-09-18,41.5,over,41,over,51
HOU 23 @ MIA 13,2011-09-18,46,under,46.5,under,36
SD 21 @ NE 35,2011-09-18,51.5,over,53.5,over,56
CIN 22 @ DEN 24,2011-09-18,39.5,over,40.5,over,46
PHI 31 @ ATL 35,2011-09-18,49.5,over,49.5,over,66
STL 16 @ NYG 28,2011-09-19,43,over,43.5,over,44
NFL Week 2 Over Under Totals 2010,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
KC 16 @ CLE 14,2010-09-19,38.5,under,38,under,30
BUF 7 @ GB 34,2010-09-19,43.5,under,43,under,41
BAL 10 @ CIN 15,2010-09-19,38.5,under,39,under,25
PIT 19 @ TEN 11,2010-09-19,38.5,under,36.5,under,30
PHI 35 @ DET 32,2010-09-19,41.5,over,41,over,67
CHI 27 @ DAL 20,2010-09-19,41,over,41,over,47
TB 20 @ CAR 7,2010-09-19,39,under,38,under,27
ARI 7 @ ATL 41,2010-09-19,41.5,over,43,over,48
MIA 14 @ MIN 10,2010-09-19,41,under,40.5,under,24
STL 14 @ OAK 16,2010-09-19,38.5,under,37.5,under,30
SEA 14 @ DEN 31,2010-09-19,39.5,over,41,over,45
HOU 30 @ WAS 27,2010-09-19,44.5,over,43,over,57
JAC 13 @ SD 38,2010-09-19,45.5,over,45.5,over,51
NE 14 @ NYJ 28,2010-09-19,38,over,39.5,over,42
NYG 14 @ IND 38,2010-09-19,48.5,over,47.5,over,52
NO 25 @ SF 22,2010-09-20,44.5,over,43.5,over,47
NFL Week 2 Over Under Totals 2009,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
OAK 13 @ KC 10,2009-09-20,41,under,38.5,under,23
HOU 34 @ TEN 31,2009-09-20,41.5,over,41,over,65
NE 9 @ NYJ 16,2009-09-20,47.5,under,46,under,25
CIN 31 @ GB 24,2009-09-20,43.5,over,42,over,55
MIN 27 @ DET 13,2009-09-20,47.5,under,45,under,40
NO 48 @ PHI 22,2009-09-20,47,over,46,over,70
CAR 20 @ ATL 28,2009-09-20,43.5,over,42,over,48
STL 7 @ WAS 9,2009-09-20,37,under,37,under,16
ARI 31 @ JAC 17,2009-09-20,43.5,over,42.5,over,48
SEA 10 @ SF 23,2009-09-20,40.5,under,39.5,under,33
TB 20 @ BUF 33,2009-09-20,42,over,42,over,53
CLE 6 @ DEN 27,2009-09-20,39.5,under,39,under,33
BAL 31 @ SD 26,2009-09-20,42,over,40,over,57
PIT 14 @ CHI 17,2009-09-20,38,under,37.5,under,31
NYG 33 @ DAL 31,2009-09-20,44,over,45,over,64
IND 27 @ MIA 23,2009-09-21,43,over,41,over,50
NFL Week 2 Over Under Totals 2008,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
OAK 23 @ KC 8,2008-09-14,34.5,under,36,under,31
TEN 24 @ CIN 7,2008-09-14,39.5,under,37,under,31
IND 18 @ MIN 15,2008-09-14,43.5,under,43,under,33
NO 24 @ WAS 29,2008-09-14,43,over,43,over,53
GB 48 @ DET 25,2008-09-14,44.5,over,46.5,over,73
CHI 17 @ CAR 20,2008-09-14,37.5,under,37.5,under,37
NYG 41 @ STL 13,2008-09-14,42,over,43.5,over,54
BUF 20 @ JAC 16,2008-09-14,38,under,37,under,36
ATL 9 @ TB 24,2008-09-14,38,under,37.5,under,33
SF 33 @ SEA 30,2008-09-14,39.5,over,37.5,over,63
MIA 10 @ ARI 31,2008-09-14,40,over,40.5,over,41
NE 19 @ NYJ 10,2008-09-14,36.5,under,37,under,29
SD 38 @ DEN 39,2008-09-14,44.5,over,46,over,77
PIT 10 @ CLE 6,2008-09-14,45,under,43.5,under,16
PHI 37 @ DAL 41,2008-09-15,47,over,46,over,78
NFL Week 2 Over Under Totals 2007,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
BUF 3 @ PIT 26,2007-09-16,37,under,39.5,under,29
CIN 45 @ CLE 51,2007-09-16,42,over,41.5,over,96
IND 22 @ TEN 20,2007-09-16,47,under,45,under,42
HOU 34 @ CAR 21,2007-09-16,37.5,over,38,over,55
SF 17 @ STL 16,2007-09-16,45,under,44,under,33
GB 35 @ NYG 13,2007-09-16,39,over,40,over,48
ATL 7 @ JAC 13,2007-09-16,34.5,under,34.5,under,20
NO 14 @ TB 31,2007-09-16,42,over,41.5,over,45
MIN 17 @ DET 20,2007-09-16,42,under,42.5,under,37
DAL 37 @ MIA 20,2007-09-16,39,over,39.5,over,57
SEA 20 @ ARI 23,2007-09-16,44.5,under,42.5,over,43
NYJ 13 @ BAL 20,2007-09-16,33.5,under,33,push,33
